month,route_line,ridership
2025-06,LRT Kelana Jaya Line,7055985.0
2025-06,MRT Kajang Line,7527345.0
2025-06,MRT Putrajaya Line,4479168.0
2025-07,KL Monorail,1858680.0
2025-07,KTM,2079179.0
2025-07,LRT Ampang/Sri Petaling Line,6350274.0
2025-07,LRT Kelana Jaya Line,8236230.0
2025-07,MRT Kajang Line,8322586.0
2025-07,MRT Putrajaya Line,5110482.0
2025-08,KL Monorail,1892143.0
2025-08,KTM,2086872.0
2025-08,LRT Ampang/Sri Petaling Line,6343844.0
2025-08,LRT Kelana Jaya Line,8095935.0
2025-08,MRT Kajang Line,8301044.0
2025-08,MRT Putrajaya Line,5052583.0
